Name,LSFormula,RT,Calc Mass,Class,FA,FA Group Key,MainIon,,,
DG(6:0_18:1),C27 H50 O5,5.994,454.3658,DG,6:0_18:1,24:01:00,#NAME?,,,
PC(16:1_12:0),C36 H70 O8 N1 P1,6.095,675.4839,PC,16:1_12:0,28:01:00,#NAME?,,,
PI(16:0_16:1),C41 H77 O13 N0 P1,6.117,808.5102,PI,16:0_16:1,32:01:00,#NAME?,,,
PI(16:1_18:3) +NH4,C43 H75 O13 N0 P1,6.118,830.4945,PI,16:1_18:3,34:04:00,#REF!,,,
PG(10:1e_24:2) +NH4,C40 H75 O9 N0 P1,6.177,730.5149,PG,10:1e_24:2,34:3e,#REF!,,,
TG(4:0_18:4_22:6) +NH4,C47 H70 O6,6.184,730.5172,TG,4:0_18:4_22:6,44:10:00,#REF!,,,
DG(18:3_11:1) +NH4,C32 H54 O5,6.226,518.3971,DG,18:3_11:1,29:04:00,0,,,
PS(16:1_18:3),C40 H70 O10 N1 P1,6.236,755.4737,PS,16:1_18:3,34:04:00,#NAME?,,,
PI(16:1_18:3) +NH4,C43 H75 O13 N0 P1,6.318,830.4945,PI,16:1_18:3,34:04:00,#REF!,,,
PC(6:0_24:2),C38 H72 O8 N1 P1,6.334,701.4996,PC,6:0_24:2,30:02:00,#NAME?,,,
PC(18:3_18:3),C44 H76 O8 N1 P1,6.336,777.5309,PC,18:3_18:3,36:06:00,#NAME?,,,
PA(18:3_18:3) +NH4,C39 H65 O8 N0 P1,6.339,692.4417,PA,18:3_18:3,36:06:00,0,,,
PI(18:3_18:2) +NH4,C45 H77 O13 N0 P1,6.367,856.5102,PI,18:3_18:2,36:05:00,#REF!,,,
PG(24:2_10:2),C40 H71 O10 N0 P1,6.371,742.4785,PG,24:2_10:2,34:04:00,#NAME?,,,
TG(16:4_11:3_14:3) +NH4,C44 H64 O6,6.412,688.4703,TG,16:4_11:3_14:3,41:10:00,#REF!,,,
PS(17:1_17:1),C40 H74 O10 N1 P1,6.482,759.505,PS,17:1_17:1,34:02:00,#NAME?,,,
PS(18:3_18:2),C42 H72 O10 N1 P1,6.487,781.4894,PS,18:3_18:2,36:05:00,#NAME?,,,
TG(4:0_6:0_16:1) +NH4,C29 H52 O6,6.493,496.3764,TG,4:0_6:0_16:1,26:01:00,#REF!,,,
TG(22:6_10:2_11:3) +NH4,C46 H66 O6,6.539,714.4859,TG,22:6_10:2_11:3,43:11:00,#REF!,,,
PS(14:1e_19:1),C39 H74 O9 N1 P1,6.543,731.5101,PS,14:1e_19:1,33:2e,#NAME?,,,
PC(18:3_18:3),C44 H76 O8 N1 P1,6.552,777.5309,PC,18:3_18:3,36:06:00,#NAME?,,,
PC(6:0_24:2),C38 H72 O8 N1 P1,6.563,701.4996,PC,6:0_24:2,30:02:00,#NAME?,,,
PG(16:1_18:3) +NH4,C40 H71 O10 N0 P1,6.573,742.4785,PG,16:1_18:3,34:04:00,#REF!,,,
PI(18:3_18:2) +NH4,C45 H77 O13 N0 P1,6.574,856.5102,PI,18:3_18:2,36:05:00,#REF!,,,
TG(16:3_10:3_22:6) +NH4,C51 H74 O6,6.607,782.5485,TG,16:3_10:3_22:6,48:12:00,#REF!,,,
PG(24:0_10:2),C40 H75 O10 N0 P1,6.622,746.5098,PG,24:0_10:2,34:02:00,#NAME?,,,
PG(18:3_18:2) +NH4,C42 H73 O10 N0 P1,6.626,768.4941,PG,18:3_18:2,36:05:00,#REF!,,,
PC(20:1_9:0),C37 H72 O8 N1 P1,6.636,689.4996,PC,20:1_9:0,29:01:00,#NAME?,,,
PI(18:1_14:1) +NH4,C41 H75 O13 N0 P1,6.65,806.4945,PI,18:1_14:1,32:02:00,#REF!,,,
DG(10:0e_20:1),C33 H64 O4,6.651,524.4805,DG,10:0e_20:1,30:1e,#NAME?,,,
PC(21:1_12:3),C41 H74 O8 N1 P1,6.714,739.5152,PC,21:1_12:3,33:04:00,#NAME?,,,
TG(4:0_6:0_16:1) +NH4,C29 H52 O6,6.761,496.3764,TG,4:0_6:0_16:1,26:01:00,#REF!,,,
PC(14:0_18:3),C40 H74 O8 N1 P1,6.776,727.5152,PC,14:0_18:3,32:03:00,#NAME?,,,
PS(16:1_16:1),C38 H70 O10 N1 P1,6.792,731.4737,PS,16:1_16:1,32:02:00,#NAME?,,,
TG(25:0_10:0_10:3) +NH4,C48 H86 O6,6.842,758.6424,TG,25:0_10:0_10:3,45:03:00,#REF!,,,
PG(18:3_18:2) +NH4,C42 H73 O10 N0 P1,6.851,768.4941,PG,18:3_18:2,36:05:00,#REF!,,,
PI(16:1_16:1) +NH4,C41 H75 O13 N0 P1,6.873,806.4945,PI,16:1_16:1,32:02:00,#REF!,,,
PC(22:4_14:3),C44 H74 O8 N1 P1,6.907,775.5152,PC,22:4_14:3,36:07:00,#NAME?,,,
TG(16:1_6:0_10:0) +NH4,C35 H64 O6,6.917,580.4703,TG,16:1_6:0_10:0,32:01:00,#REF!,,,
PC(16:1_18:3),C42 H76 O8 N1 P1,6.93,753.5309,PC,16:1_18:3,34:04:00,#NAME?,,,
PG(16:1_16:1) +NH4,C38 H71 O10 N0 P1,6.933,718.4785,PG,16:1_16:1,32:02:00,#REF!,,,
TG(4:0_11:1_14:4) +NH4,C32 H50 O6,6.935,530.3607,TG,4:0_11:1_14:4,29:05:00,#REF!,,,
PI(16:0_16:0),C41 H79 O13 N0 P1,6.942,810.5258,PI,16:0_16:0,32:00:00,#NAME?,,,
PI(16:0_18:3) +NH4,C43 H77 O13 N0 P1,6.942,832.5102,PI,16:0_18:3,34:03:00,#REF!,,,
DG(10:0e_22:2),C35 H66 O4,6.943,550.4961,DG,10:0e_22:2,32:2e,#NAME?,,,
TG(20:5_11:3_22:5),C56 H82 O6,6.946,850.6111,TG,20:5_11:3_22:5,53:13:00,#NAME?,,,
DG(12:1e_16:1) +NH4,C31 H58 O4,6.957,494.4335,DG,12:1e_16:1,28:2e,0,,,
TG(11:0_18:4_22:6),C54 H84 O6,7.041,828.6268,TG,11:0_18:4_22:6,51:10:00,#NAME?,,,
PC(12:0_20:3),C40 H74 O8 N1 P1,7.062,727.5152,PC,12:0_20:3,32:03:00,#NAME?,,,
PS(16:1_18:2),C40 H72 O10 N1 P1,7.082,757.4894,PS,16:1_18:2,34:03:00,#NAME?,,,
PC(16:1_18:3),C42 H76 O8 N1 P1,7.152,753.5309,PC,16:1_18:3,34:04:00,#NAME?,,,
DG(18:2_11:1) +NH4,C32 H56 O5,7.155,520.4128,DG,18:2_11:1,29:03:00,0,,,
PG(16:1_16:1) +NH4,C38 H71 O10 N0 P1,7.169,718.4785,PG,16:1_16:1,32:02:00,#REF!,,,
PC(22:4_11:3),C41 H68 O8 N1 P1,7.199,733.4683,PC,22:4_11:3,33:07:00,#NAME?,,,
PC(18:3_18:2),C44 H78 O8 N1 P1,7.217,779.5465,PC,18:3_18:2,36:05:00,#NAME?,,,
PG(16:1_18:2) +NH4,C40 H73 O10 N0 P1,7.237,744.4941,PG,16:1_18:2,34:03:00,#REF!,,,
PI(18:2_18:2) +NH4,C45 H79 O13 N0 P1,7.238,858.5258,PI,18:2_18:2,36:04:00,#REF!,,,
PI(16:0_16:0),C41 H79 O13 N0 P1,7.305,810.5258,PI,16:0_16:0,32:00:00,#NAME?,,,
